column,position
representation,0
space,1
algorithm,2
selection,3
candidate_id,4
parameters,5
variance_threshold,6
n_features,7
n_components,8
cumulative_explained_variance,9
standardized,10
use_for_rules,11
n_clusters,12
largest_non_noise_cluster_share,13
silhouette,14
davies_bouldin,15
calinski_harabasz,16
n_noise,17
noise_fraction,18
reference_ari,19
resampling_ari_mean,20
resampling_ari_std,21
resampling_pairs,22
