column,position
algorithm,0
representation,1
selection,2
candidate_id,3
parameters,4
window_minutes,5
affected_dimension,6
n_features,7
n_clusters,8
largest_non_noise_cluster_share,9
silhouette,10
davies_bouldin,11
calinski_harabasz,12
ari,13
stability_ari,14
n_noise,15
noise_fraction,16
