representation,method,candidate_id,parameters,seed,n_samples,n_clusters,n_clusters_including_noise,n_noise,noise_fraction,largest_non_noise_cluster_share,internal_valid,silhouette,davies_bouldin,calinski_harabasz,runtime_seconds,cluster_sizes,n_clusters_excluding_noise,selection,deployment_acceptable,selection_status,scenario_type,scenario_id,included_features,dropped_features,n_features,ari_vs_compact_deployment,ari_vs_rich_deployment
drop_feature_purchase_event_count,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.579230309753392,True,0.36480470711782764,1.01305739914546,4054.46856352817,0.10002700000768527,"{""0"":158,""1"":6788,""2"":1157,""3"":3616}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_purchase_event_count,"[""purchase_recency_days"",""purchase_occasion_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_event_count""]",11,0.011712190197897852,0.9846975598196122
drop_feature_purchase_event_count,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.579230309753392,True,0.36480470711782764,1.01305739914546,4054.46856352817,0.10002700000768527,"{""0"":158,""1"":6788,""2"":1157,""3"":3616}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_purchase_event_count,"[""purchase_recency_days"",""purchase_occasion_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_event_count""]",11,0.011712190197897852,0.9846975598196122
drop_feature_total_events,classix,classix_r1.65_m1_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":1,""post_alloc"":false,""radius"":1.65,""sorting"":""pca""}",,11719,4,4,0,0.0,0.9994880109224337,True,0.7952759301729226,0.269270768911383,93.40288585087703,0.01514666702132672,"{""0"":3,""1"":11713,""2"":2,""3"":1}",4,unconstrained_silhouette,False,silhouette_max_unconstrained,leave_one_out,drop_feature_total_events,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""total_events""]",11,0.004141255007217036,0.007364495365987078
drop_feature_total_events,classix,classix_r0.50_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.5,""sorting"":""pca""}",,11719,3,3,0,0.0,0.8935062718662002,True,0.3039277390962451,0.9204119706567835,1911.5969087896501,0.10883425001520663,"{""0"":84,""1"":10471,""2"":1164}",3,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_total_events,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""total_events""]",11,0.037648997580871105,0.9025240202926063
drop_feature_total_events,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.5848621896066217,True,0.3651031108713342,1.0155688848835316,3972.075205388681,0.12365091702667996,"{""0"":6854,""1"":3552,""2"":158,""3"":1155}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_total_events,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""total_events""]",11,0.009949483796810852,0.9533907380168797
drop_feature_total_events,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.5848621896066217,True,0.3651031108713342,1.0155688848835316,3972.075205388681,0.12365091702667996,"{""0"":6854,""1"":3552,""2"":158,""3"":1155}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_total_events,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""total_events""]",11,0.009949483796810852,0.9533907380168797
drop_feature_active_days,classix,classix_r1.55_m1_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":1,""post_alloc"":false,""radius"":1.55,""sorting"":""pca""}",,11719,3,3,0,0.0,0.9995733424353613,True,0.8029990257039291,0.2451636571586325,122.19119028091717,0.012115916993934661,"{""0"":3,""1"":11714,""2"":2}",3,unconstrained_silhouette,False,silhouette_max_unconstrained,leave_one_out,drop_feature_active_days,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""active_days""]",11,0.004297605012039558,0.006139838644737068
drop_feature_active_days,classix,classix_r0.85_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.85,""sorting"":""pca""}",,11719,2,3,136,0.011605085758170493,0.9008892342225675,True,0.29793005582694737,1.1221132723776739,1827.166885674743,4.275402583007235,"{""-1"":136,""475"":10435,""483"":1148}",2,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_active_days,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""active_days""]",11,0.013297700051176496,0.9490050947610044
drop_feature_active_days,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.5776943425206928,True,0.3440054221244595,1.0514807803461452,3768.902783327482,0.24823174998164177,"{""0"":6770,""1"":153,""2"":1158,""3"":3638}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_active_days,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""active_days""]",11,0.015075152285342735,0.9752579709646364
drop_feature_active_days,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.5776943425206928,True,0.3440054221244595,1.0514807803461452,3768.902783327482,0.24823174998164177,"{""0"":6770,""1"":153,""2"":1158,""3"":3638}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_active_days,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""active_days""]",11,0.015075152285342735,0.9752579709646364
