algorithm,representation,selection,candidate_id,parameters,sigma,seed,n_clusters,largest_non_noise_cluster_share,silhouette,davies_bouldin,calinski_harabasz,ari,stability_ari,n_noise,noise_fraction
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.0001,20260805,2,0.9092926017578291,0.5947452025977903,1.057227180491111,4285.457943366627,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.0001,20260806,2,0.9092926017578291,0.594745260524671,1.0572255687880598,4285.46909747353,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.0001,20260807,2,0.9092926017578291,0.5947447853348136,1.0572276443024826,4285.4540791845875,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.0001,20260808,2,0.9092926017578291,0.5947462867159872,1.0572254727704664,4285.478029189457,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.0001,20260809,2,0.9092926017578291,0.5947455878507351,1.0572278689795,4285.458658992389,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.0001,20260810,2,0.9092926017578291,0.5947453587215524,1.0572268598282064,4285.460998121165,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260801,2,0.9092926017578291,0.5947465289974431,1.057225799349736,4285.5032792856055,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260802,2,0.9092926017578291,0.5947496312375506,1.0572105632709328,4285.656946013159,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260803,2,0.9092926017578291,0.594740744331035,1.0572113246299413,4285.514534064166,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260804,2,0.9092926017578291,0.5947427939289818,1.0572346156601382,4285.45095591458,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260805,2,0.9092926017578291,0.5947394561762064,1.0572344225954247,4285.374698009619,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260806,2,0.9092926017578291,0.5947400194675855,1.057218283674314,4285.486250046382,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260807,2,0.9092926017578291,0.5947352474153654,1.057239051328511,4285.336107379907,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260808,2,0.9092926017578291,0.5947503483526475,1.0572173198912735,4285.575630410682,1.0,1.0,0,0.0
