column,position
algorithm,0
representation,1
selection,2
candidate_id,3
parameters,4
n_features,5
added_permuted_features,6
permuted_feature_names,7
compact_columns_unchanged,8
rich_joint_structure_preserved,9
n_clusters,10
largest_non_noise_cluster_share,11
silhouette,12
davies_bouldin,13
calinski_harabasz,14
ari,15
stability_ari,16
n_noise,17
noise_fraction,18
