comparison,method,parameter_key,parameter_value,k,left_representation,right_representation,n_samples,ari,nmi,vi,availability
fixed_classix_parameter,classix,candidate_id,classix_r0.45_m5_distance,,compact,rich,11719,0.04521088648937441,0.12097825219546907,1.216601519730502,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m10_density,,compact,rich,11719,0.39246578857731357,0.3807567816733955,1.0700720588147055,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m10_distance,,compact,rich,11719,-0.02015657142081144,0.06931353776172,1.1734453382952321,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m1_density,,compact,rich,11719,0.40238886981315897,0.4982267091758628,1.138308844364103,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m1_distance,,compact,rich,11719,0.0454794066676584,0.17692310159604657,1.233211032188281,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m5_density,,compact,rich,11719,0.39423248045286774,0.38482102896926984,1.113311282754451,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m5_distance,,compact,rich,11719,-0.015934905014323843,0.07590573329150338,1.2062027422672104,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m10_density,,compact,rich,11719,0.1709397755056272,0.15594871284642903,1.2646120910298293,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m10_distance,,compact,rich,11719,-0.03681373738034564,0.020827348765429198,1.0811290568936671,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m1_density,,compact,rich,11719,0.1778865431570464,0.3191745762203705,1.295431905304425,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m1_distance,,compact,rich,11719,0.011076365063472425,0.10916480057927903,1.1417557908996274,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m5_density,,compact,rich,11719,0.1724230805132272,0.17278136948957143,1.2892512208250082,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m5_distance,,compact,rich,11719,-0.034193485951312566,0.02502431840643239,1.1058125616625945,
fixed_classix_parameter,classix,candidate_id,classix_r0.60_m10_density,,compact,rich,11719,0.14698043152577106,0.15228151061055897,1.2587198835866586,
fixed_classix_parameter,classix,candidate_id,classix_r0.60_m10_distance,,compact,rich,11719,-0.008753396281020391,0.08169197933250504,1.0570695507356054,
fixed_classix_parameter,classix,candidate_id,classix_r0.60_m1_density,,compact,rich,11719,0.1515538122390789,0.2935645300058263,1.2701061169590955,
fixed_classix_parameter,classix,candidate_id,classix_r0.60_m1_distance,,compact,rich,11719,0.020273906358853924,0.14609436879249085,1.087169864611216,
fixed_classix_parameter,classix,candidate_id,classix_r0.60_m5_density,,compact,rich,11719,0.1479697511592793,0.16604600930470648,1.2750496705833367,
fixed_classix_parameter,classix,candidate_id,classix_r0.60_m5_distance,,compact,rich,11719,-0.007333280857455972,0.09028012701998755,1.0658894517213198,
fixed_classix_parameter,classix,candidate_id,classix_r0.65_m10_density,,compact,rich,11719,0.09529714320809195,0.12530541646004936,1.2262477801851162,
fixed_classix_parameter,classix,candidate_id,classix_r0.65_m10_distance,,compact,rich,11719,-0.043874973095763055,0.015272482535690758,1.0630235002648687,
fixed_classix_parameter,classix,candidate_id,classix_r0.65_m1_density,,compact,rich,11719,0.09786213703092818,0.23639048771457827,1.2388283166647678,
fixed_classix_parameter,classix,candidate_id,classix_r0.65_m1_distance,,compact,rich,11719,-0.022258124585175947,0.06040562595648532,1.1068621208804743,
fixed_classix_parameter,classix,candidate_id,classix_r0.65_m5_density,,compact,rich,11719,0.09602637724352342,0.13965366365057208,1.2370035603895313,
fixed_classix_parameter,classix,candidate_id,classix_r0.65_m5_distance,,compact,rich,11719,-0.04013311615972239,0.02189083916306165,1.0741137596904118,
fixed_classix_parameter,classix,candidate_id,classix_r0.70_m10_density,,compact,rich,11719,0.07330910912831114,0.10227769903018846,1.2450444952768036,
fixed_classix_parameter,classix,candidate_id,classix_r0.70_m10_distance,,compact,rich,11719,-0.05091821149749051,0.007909488169968702,1.0632085426711726,
fixed_classix_parameter,classix,candidate_id,classix_r0.70_m1_density,,compact,rich,11719,0.07492197186739868,0.1932786576519208,1.254228628406246,
fixed_classix_parameter,classix,candidate_id,classix_r0.70_m1_distance,,compact,rich,11719,-0.03130186564329342,0.05214400013342304,1.0870406715608119,
fixed_classix_parameter,classix,candidate_id,classix_r0.70_m5_density,,compact,rich,11719,0.07375949754470071,0.11410198134428946,1.253876913663362,
fixed_classix_parameter,classix,candidate_id,classix_r0.70_m5_distance,,compact,rich,11719,-0.04768636390024599,0.013352057511521923,1.0661003247455396,
fixed_classix_parameter,classix,candidate_id,classix_r0.75_m10_density,,compact,rich,11719,0.027815035600459965,0.07495084220323518,1.2207466450042876,
fixed_classix_parameter,classix,candidate_id,classix_r0.75_m10_distance,,compact,rich,11719,-0.030281661607967452,0.004291279575159271,0.6543640600197955,
fixed_classix_parameter,classix,candidate_id,classix_r0.75_m1_density,,compact,rich,11719,0.028802896755166164,0.14974740560218716,1.2300646964777024,
fixed_classix_parameter,classix,candidate_id,classix_r0.75_m1_distance,,compact,rich,11719,-0.01443520837650013,0.04484668995186208,0.7003730866360903,
fixed_classix_parameter,classix,candidate_id,classix_r0.75_m5_density,,compact,rich,11719,0.028036576471547524,0.08220241274850157,1.2264695012697686,
fixed_classix_parameter,classix,candidate_id,classix_r0.75_m5_distance,,compact,rich,11719,-0.029601910642877025,0.009294183251769832,0.6700117176102008,
fixed_classix_parameter,classix,candidate_id,classix_r0.80_m10_density,,compact,rich,11719,0.00646014771767079,0.04955211925351803,1.1065468164390204,
fixed_classix_parameter,classix,candidate_id,classix_r0.80_m10_distance,,compact,rich,11719,0.0,0.0,0.3341618700661681,
fixed_classix_parameter,classix,candidate_id,classix_r0.80_m1_density,,compact,rich,11719,0.00707690594702669,0.10866867275986022,1.1269804939252963,
fixed_classix_parameter,classix,candidate_id,classix_r0.80_m1_distance,,compact,rich,11719,0.034305317515903204,0.06385609998259141,0.3734699171096193,
fixed_classix_parameter,classix,candidate_id,classix_r0.80_m5_density,,compact,rich,11719,0.00655590918555068,0.05251700791040177,1.1121190140082804,
fixed_classix_parameter,classix,candidate_id,classix_r0.80_m5_distance,,compact,rich,11719,0.019387416757952594,0.02138036999461157,0.3499815442374638,
fixed_classix_parameter,classix,candidate_id,classix_r0.85_m10_density,,compact,rich,11719,-0.005676678300386096,0.04447702546848631,1.0834421045053222,
fixed_classix_parameter,classix,candidate_id,classix_r0.85_m10_distance,,compact,rich,11719,-0.02929796545691766,0.0034533006798615636,0.6499689021458699,
fixed_classix_parameter,classix,candidate_id,classix_r0.85_m1_density,,compact,rich,11719,-0.005362302819537034,0.08821609399065831,1.0996858744643145,
fixed_classix_parameter,classix,candidate_id,classix_r0.85_m1_distance,,compact,rich,11719,-0.022899736119984727,0.020914549705317868,0.6853916455588801,
