column,position
amendment_id,0
grid_scope,1
representation,2
method,3
candidate_id,4
parameters,5
n_samples,6
n_clusters,7
n_clusters_excluding_noise,8
n_noise,9
noise_fraction,10
largest_non_noise_cluster_share,11
internal_valid,12
silhouette,13
davies_bouldin,14
calinski_harabasz,15
runtime_seconds,16
cluster_sizes,17
