column,position
representation,0
method,1
candidate_id,2
parameters,3
seed,4
n_samples,5
n_clusters,6
n_clusters_excluding_noise,7
n_noise,8
noise_fraction,9
largest_non_noise_cluster_share,10
internal_valid,11
silhouette,12
davies_bouldin,13
calinski_harabasz,14
runtime_seconds,15
cluster_sizes,16
