representation,split_seed,k,k_prime,engine,train_fidelity,test_fidelity,stability,stability_definition,k_selection_scope,k_candidate_count,selected_train_silhouette,selected_train_dbi,selected_train_ch,transformed_columns,leaves,leaf_count,effective_rules,effective_rule_count,max_depth,depth,mean_conditions_per_rule,conditions_per_rule_mean,max_conditions_per_rule,test_rows_used_for_selection,scaler_fit_rows,reference_fit_rows
compact,20260801,2,2,exkmc_0.0.3,0.9986133333333334,0.9987201365187713,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8484070621889171,0.4798987934413189,5613.72286910379,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",2,2,2,2,1,1,1.0,1.0,1,0,9375,9375
compact,20260801,2,3,exkmc_0.0.3,0.9991466666666666,0.9987201365187713,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8484070621889171,0.4798987934413189,5613.72286910379,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",3,3,3,3,2,2,1.6666666666666667,1.6666666666666667,2,0,9375,9375
compact,20260801,2,4,exkmc_0.0.3,0.9995733333333333,1.0,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8484070621889171,0.4798987934413189,5613.72286910379,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",4,4,4,4,2,2,2.0,2.0,2,0,9375,9375
compact,20260801,2,5,exkmc_0.0.3,0.9995733333333333,1.0,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8484070621889171,0.4798987934413189,5613.72286910379,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",5,5,5,5,3,3,2.4,2.4,3,0,9375,9375
compact,20260801,2,6,exkmc_0.0.3,0.9995733333333333,1.0,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8484070621889171,0.4798987934413189,5613.72286910379,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",6,6,6,6,4,4,2.8333333333333335,2.8333333333333335,4,0,9375,9375
compact,20260801,2,7,exkmc_0.0.3,0.9995733333333333,1.0,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8484070621889171,0.4798987934413189,5613.72286910379,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",7,7,7,7,5,5,3.2857142857142856,3.2857142857142856,5,0,9375,9375
compact,20260801,2,8,exkmc_0.0.3,0.9995733333333333,1.0,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8484070621889171,0.4798987934413189,5613.72286910379,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",8,8,8,8,6,6,3.75,3.75,6,0,9375,9375
compact,20260802,2,2,exkmc_0.0.3,0.9988266666666666,0.9987201365187713,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8504678422005698,0.4806665072105839,5512.849073432618,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",2,2,2,2,1,1,1.0,1.0,1,0,9375,9375
compact,20260802,2,3,exkmc_0.0.3,0.99936,0.9991467576791809,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8504678422005698,0.4806665072105839,5512.849073432618,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",3,3,3,3,2,2,1.6666666666666667,1.6666666666666667,2,0,9375,9375
compact,20260802,2,4,exkmc_0.0.3,0.99936,0.9991467576791809,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8504678422005698,0.4806665072105839,5512.849073432618,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",4,4,4,4,3,3,2.25,2.25,3,0,9375,9375
compact,20260802,2,5,exkmc_0.0.3,0.99936,0.9991467576791809,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8504678422005698,0.4806665072105839,5512.849073432618,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",5,5,5,5,4,4,2.8,2.8,4,0,9375,9375
compact,20260802,2,6,exkmc_0.0.3,0.99936,0.9991467576791809,1.0,fixed_seed_reproducibility,train_only_label_free,11,0.8504678422005698,0.4806665072105839,5512.849073432618,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",6,6,6,6,5,5,3.3333333333333335,3.3333333333333335,5,0,9375,9375
