representation,split_seed,k,train_silhouette,train_dbi,train_ch,selection_scope,selected
compact,20260801,2,0.8484070621889171,0.4798987934413189,5613.72286910379,train_only_label_free,True
compact,20260801,4,0.5580086799550841,0.7716751011236889,8445.648231209503,train_only_label_free,False
compact,20260801,8,0.5421701346135002,0.8169272616520964,8621.925099019789,train_only_label_free,False
compact,20260801,12,0.536459621135847,0.8065087823009188,8933.169020548943,train_only_label_free,False
compact,20260801,5,0.5356316476947763,0.8595169433914662,8174.277435024159,train_only_label_free,False
compact,20260801,7,0.5349521893564422,0.8191509089078716,8630.870377531204,train_only_label_free,False
compact,20260801,11,0.5252115009213658,0.8049878531880971,9055.655205396739,train_only_label_free,False
compact,20260801,10,0.5228714038211847,0.8198403682469124,8934.487621683798,train_only_label_free,False
compact,20260801,9,0.5163114916135737,0.7998146835427493,8658.42999042055,train_only_label_free,False
compact,20260801,3,0.5161883213540204,0.7407573458174812,7141.119770713929,train_only_label_free,False
compact,20260801,6,0.5074505537601965,0.8211853252525908,8615.351826755572,train_only_label_free,False
compact,20260802,2,0.8504678422005698,0.4806665072105839,5512.849073432618,train_only_label_free,True
compact,20260802,4,0.5567098623840773,0.7742610951751026,8379.90627280421,train_only_label_free,False
compact,20260802,12,0.5377341786891255,0.7788662580345678,8948.620828936557,train_only_label_free,False
compact,20260802,8,0.5375492517573254,0.8192529010458669,8698.09474688919,train_only_label_free,False
compact,20260802,7,0.5301910923705085,0.822645739728032,8594.372398835965,train_only_label_free,False
compact,20260802,11,0.5300833648278046,0.7823043653908539,9018.508174364599,train_only_label_free,False
compact,20260802,10,0.5249881905408593,0.8108364395959267,9084.761566029274,train_only_label_free,False
compact,20260802,9,0.516719839902017,0.8083986306753951,9013.632592360522,train_only_label_free,False
compact,20260802,3,0.5116336458489844,0.7414479379776328,6971.58196754697,train_only_label_free,False
compact,20260802,6,0.5071594221321513,0.8162920665624478,8448.020896021262,train_only_label_free,False
compact,20260802,5,0.47808542146484667,0.7409102195533753,8089.219796802148,train_only_label_free,False
compact,20260803,2,0.8578367904783295,0.43830165266078425,5604.661711159103,train_only_label_free,True
compact,20260803,4,0.5598789121059157,0.7651432998559984,8585.6859978148,train_only_label_free,False
compact,20260803,12,0.5395191152483565,0.8113732839132398,8922.2348514016,train_only_label_free,False
compact,20260803,8,0.5363736532506059,0.8068743847597839,8721.161639496122,train_only_label_free,False
compact,20260803,7,0.5325302469237231,0.8246612003802779,8617.276452401074,train_only_label_free,False
compact,20260803,11,0.5269311693436114,0.8203705057486892,9053.130316494678,train_only_label_free,False
compact,20260803,10,0.5255789332255016,0.8222437518980519,9067.883842337807,train_only_label_free,False
