representation,method,selection,candidate_id,pair_id,seed_left,seed_right,sample_fraction,n_left,n_right,n_overlap,valid_overlap,ari_overlap
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,6,20260811,20260812,0.8,9375,9375,7514,True,0.0
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,7,20260813,20260814,0.8,9375,9375,7497,True,0.666577718478986
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,8,20260815,20260816,0.8,9375,9375,7468,True,0.0
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,9,20260817,20260818,0.8,9375,9375,7499,True,1.0
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,10,20260819,20260820,0.8,9375,9375,7502,True,1.0
rich,classix,deployment_acceptable,classix_r0.75_m10_density,1,20260801,20260802,0.8,9375,9375,7516,True,0.951953909946001
rich,classix,deployment_acceptable,classix_r0.75_m10_density,2,20260803,20260804,0.8,9375,9375,7493,True,0.9552098204395758
rich,classix,deployment_acceptable,classix_r0.75_m10_density,3,20260805,20260806,0.8,9375,9375,7487,True,0.9412726598354181
rich,classix,deployment_acceptable,classix_r0.75_m10_density,4,20260807,20260808,0.8,9375,9375,7495,True,0.9716122160275136
rich,classix,deployment_acceptable,classix_r0.75_m10_density,5,20260809,20260810,0.8,9375,9375,7502,True,0.9846054412486845
rich,classix,deployment_acceptable,classix_r0.75_m10_density,6,20260811,20260812,0.8,9375,9375,7514,True,0.960376833673961
rich,classix,deployment_acceptable,classix_r0.75_m10_density,7,20260813,20260814,0.8,9375,9375,7497,True,0.9699047015304407
rich,classix,deployment_acceptable,classix_r0.75_m10_density,8,20260815,20260816,0.8,9375,9375,7468,True,0.9479630389541622
rich,classix,deployment_acceptable,classix_r0.75_m10_density,9,20260817,20260818,0.8,9375,9375,7499,True,0.9813262119549205
rich,classix,deployment_acceptable,classix_r0.75_m10_density,10,20260819,20260820,0.8,9375,9375,7502,True,0.9823714861563584
rich,kmeans,unconstrained_silhouette,kmeans_k04,1,20260801,20260802,0.8,9375,9375,7516,True,0.9892810059493589
rich,kmeans,unconstrained_silhouette,kmeans_k04,2,20260803,20260804,0.8,9375,9375,7493,True,0.9966961183295673
rich,kmeans,unconstrained_silhouette,kmeans_k04,3,20260805,20260806,0.8,9375,9375,7487,True,0.994726438677664
rich,kmeans,unconstrained_silhouette,kmeans_k04,4,20260807,20260808,0.8,9375,9375,7495,True,0.99637642577181
rich,kmeans,unconstrained_silhouette,kmeans_k04,5,20260809,20260810,0.8,9375,9375,7502,True,0.9931177073392053
rich,kmeans,unconstrained_silhouette,kmeans_k04,6,20260811,20260812,0.8,9375,9375,7514,True,0.9950002962494237
rich,kmeans,unconstrained_silhouette,kmeans_k04,7,20260813,20260814,0.8,9375,9375,7497,True,0.9985581493970523
rich,kmeans,unconstrained_silhouette,kmeans_k04,8,20260815,20260816,0.8,9375,9375,7468,True,0.9955084693731994
rich,kmeans,unconstrained_silhouette,kmeans_k04,9,20260817,20260818,0.8,9375,9375,7499,True,0.9970329681723948
rich,kmeans,unconstrained_silhouette,kmeans_k04,10,20260819,20260820,0.8,9375,9375,7502,True,0.9913930830645813
rich,kmeans,deployment_acceptable,kmeans_k04,1,20260801,20260802,0.8,9375,9375,7516,True,0.9892810059493589
rich,kmeans,deployment_acceptable,kmeans_k04,2,20260803,20260804,0.8,9375,9375,7493,True,0.9966961183295673
rich,kmeans,deployment_acceptable,kmeans_k04,3,20260805,20260806,0.8,9375,9375,7487,True,0.994726438677664
rich,kmeans,deployment_acceptable,kmeans_k04,4,20260807,20260808,0.8,9375,9375,7495,True,0.99637642577181
rich,kmeans,deployment_acceptable,kmeans_k04,5,20260809,20260810,0.8,9375,9375,7502,True,0.9931177073392053
rich,kmeans,deployment_acceptable,kmeans_k04,6,20260811,20260812,0.8,9375,9375,7514,True,0.9950002962494237
rich,kmeans,deployment_acceptable,kmeans_k04,7,20260813,20260814,0.8,9375,9375,7497,True,0.9985581493970523
rich,kmeans,deployment_acceptable,kmeans_k04,8,20260815,20260816,0.8,9375,9375,7468,True,0.9955084693731994
rich,kmeans,deployment_acceptable,kmeans_k04,9,20260817,20260818,0.8,9375,9375,7499,True,0.9970329681723948
rich,kmeans,deployment_acceptable,kmeans_k04,10,20260819,20260820,0.8,9375,9375,7502,True,0.9913930830645813
